"","LBS","inbreeding","Qgg","sexU","stcohort","stcohort2","id","dam","cohort","group","litter","DamCohort"
"249",0,0,0.75,0,-0.00702908315924706,-0.0187169376305016,1704,117,12,4,305,49
"250",16,0,0.75,0,-0.00702908315924706,-0.0187169376305016,1715,117,12,4,305,49
"251",3,0,0.25,0,-0.00702908315924706,-0.0187169376305016,1723,116,12,4,306,48
"252",0,0,0.25,0,-0.00702908315924706,-0.0187169376305016,1734,116,12,4,306,48
"253",0,0,0.25,0,-0.00702908315924706,-0.0187169376305016,1744,116,12,4,306,48
"254",2,0,0.75,0,-0.00702908315924706,-0.0187169376305016,1755,116,12,4,304,48
"255",0,0.0625,0.375,0,-0.00361112741103219,-0.0200879142906419,1765,30,13,4,99,290
"256",1,0.0625,0.375,0,-0.00361112741103219,-0.0200879142906419,1774,30,13,4,99,290
"257",0,0,0.375,0,-0.00361112741103219,-0.0200879142906419,1785,30,13,4,382,290
"258",0,0,0.875,0,-0.000193171662817315,-0.0202311406180255,1796,32,14,4,102,294
"259",0,0,0.375,0,-0.000193171662817315,-0.0202311406180255,1807,30,14,4,100,291
"260",0,0,0.375,0,-0.000193171662817315,-0.0202311406180255,1820,30,14,4,100,291
"261",0,0,0.5,1,-0.0172829504038917,-0.00723750565354033,2022,29,9,4,98,289
"262",0,0,1,1,-0.0172829504038917,-0.00723750565354033,2033,29,9,4,98,289
"263",0,0,1,1,-0.0172829504038917,-0.00723750565354033,2042,29,9,4,98,289
"264",0,0,1,1,-0.0172829504038917,-0.00723750565354033,2053,29,9,4,98,289
"265",0,0,0.625,1,-0.0138649946556768,-0.0122917333119508,2059,119,10,4,307,51
"266",0,0,0.75,1,-0.00702908315924706,-0.0187169376305016,2070,117,12,4,305,49
"267",0,0,0.75,1,-0.00702908315924706,-0.0187169376305016,2080,116,12,4,306,48
"268",0,0,0.75,1,-0.00702908315924706,-0.0187169376305016,2090,116,12,4,304,48
"269",0,0,0.75,1,-0.00702908315924706,-0.0187169376305016,2101,116,12,4,304,48
"270",0,0.0625,0.375,1,-0.00361112741103219,-0.0200879142906419,2111,30,13,4,99,290
